ID,Name,Age,Height,Weight,Nationality,Overall,Potential,Growth,Club,ValueEUR,WageEUR,ReleaseClause,Position,ContractUntil,ClubJoined,NationalTeam,PreferredFoot,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal
210257,Ederson,27,188,86,Brazil,89,91,2,Manchester City,94000000,200000,181000000,GK,2026.0,2017,Not in team,Left,3,1,Medium,Medium,87,82,93,88,63,88
212622,J. Kimmich,26,177,75,Germany,89,90,1,FC Bayern München,108000000,160000,186300000,CDM,2025.0,2015,Germany,Right,4,3,High,Medium,70,73,86,84,83,79
212831,Alisson,28,191,91,Brazil,89,90,1,Liverpool,82000000,190000,157900000,GK,2027.0,2018,Not in team,Right,3,1,Medium,Medium,86,86,84,89,51,90
192505,R. Lukaku,28,191,94,Belgium,88,88,0,Chelsea,93500000,260000,173000000,ST,2026.0,2021,Belgium,Left,4,3,Medium,Medium,84,87,74,78,39,83
155862,Sergio Ramos,35,184,82,Spain,88,88,0,Paris Saint-Germain,24000000,115000,44400000,CB,2023.0,2021,Spain,Right,3,3,High,Medium,70,70,76,73,88,84
176580,L. Suárez,34,182,83,Uruguay,88,88,0,Atlético de Madrid,44500000,135000,91200000,ST,2022.0,2020,Not in team,Right,4,3,High,Medium,72,90,82,83,47,83
182521,T. Kroos,31,183,76,Germany,88,88,0,Real Madrid CF,75000000,310000,153800000,CM,2023.0,2014,Not in team,Right,5,3,Medium,Medium,53,81,91,81,71,68
239085,E. Haaland,20,194,94,Norway,88,93,5,Borussia Dortmund,137500000,110000,244100000,ST,2024.0,2020,Norway,Left,3,3,High,High,89,91,65,80,45,88
193041,K. Navas,34,185,80,Costa Rica,88,88,0,Paris Saint-Germain,15500000,130000,28700000,SUB,2024.0,2019,Not in team,Right,3,1,Medium,Medium,89,84,75,89,53,87
212198,Bruno Fernandes,26,179,69,Portugal,88,89,1,Manchester United,107500000,250000,206900000,CAM,2025.0,2020,Portugal,Right,3,4,High,High,75,86,89,84,70,77
202652,R. Sterling,26,170,69,England,88,89,1,Manchester City,107500000,290000,206900000,SUB,2023.0,2015,England,Right,3,4,High,Medium,91,82,79,88,45,66
199556,M. Verratti,28,165,60,Italy,87,87,0,Paris Saint-Germain,79500000,155000,147100000,CM,2024.0,2012,Italy,Right,4,4,Medium,High,64,61,87,91,79,67
177003,L. Modrić,35,172,66,Croatia,87,87,0,Real Madrid CF,32000000,190000,65599999,CM,2022.0,2012,Not in team,Right,4,4,Medium,Medium,73,76,89,88,72,66
183898,A. Di María,33,180,69,Argentina,87,87,0,Paris Saint-Germain,49500000,160000,91600000,SUB,2022.0,2015,Argentina,Left,2,5,High,Medium,83,81,86,88,48,69
186153,W. Szczęsny,31,195,90,Poland,87,87,0,Juventus,42000000,105000,69300000,GK,2024.0,2017,Poland,Right,3,1,Medium,Medium,86,82,73,88,49,87
189596,T. Müller,31,185,76,Germany,87,87,0,FC Bayern München,66000000,140000,108900000,CAM,2023.0,2008,Not in team,Right,4,3,High,High,67,84,83,79,56,71
192387,C. Immobile,31,185,85,Italy,87,87,0,Lazio,67500000,125000,114800000,ST,2025.0,2016,Italy,Right,4,3,High,Medium,86,87,67,81,39,77
195864,P. Pogba,28,191,84,France,87,87,0,Manchester United,79500000,220000,147100000,CDM,2022.0,2016,France,Right,4,5,High,Medium,71,81,86,86,65,83
209658,L. Goretzka,26,189,82,Germany,87,88,1,FC Bayern München,93000000,140000,160400000,CDM,2026.0,2018,Germany,Right,4,3,High,Medium,81,82,82,84,81,86
207865,Marquinhos,27,183,75,Brazil,87,90,3,Paris Saint-Germain,90500000,135000,174200000,CB,2024.0,2013,Not in team,Right,3,3,Medium,High,81,53,75,73,89,81
211110,P. Dybala,27,177,75,Argentina,87,88,1,Juventus,93000000,160000,160400000,CAM,2022.0,2015,Argentina,Left,3,4,Medium,Medium,84,86,86,91,40,60
216267,A. Robertson,27,178,64,Scotland,87,88,1,Liverpool,83500000,175000,160700000,LB,2026.0,2017,Scotland,Left,2,3,High,High,84,61,81,81,82,76
228702,F. de Jong,24,180,74,Netherlands,87,92,5,FC Barcelona,119500000,210000,253900000,CM,2026.0,2019,Netherlands,Right,3,4,High,Medium,81,69,85,88,77,78
231281,T. Alexander-Arnold,22,180,69,England,87,92,5,Liverpool,114000000,150000,219500000,RB,2025.0,2015,England,Right,4,3,High,Medium,79,68,88,80,80,72
239818,Rúben Dias,24,187,82,Portugal,87,91,4,Manchester City,102500000,170000,197300000,CB,2027.0,2020,Portugal,Right,4,2,Medium,High,61,38,65,67,88,88
153079,S. Agüero,33,173,70,Argentina,87,87,0,FC Barcelona,51000000,260000,104600000,ST,2023.0,2021,Argentina,Right,4,4,High,Medium,71,89,75,87,33,69
167948,H. Lloris,34,188,82,France,87,87,0,Tottenham Hotspur,13500000,125000,25700000,GK,2022.0,2012,France,Left,1,1,Medium,Medium,88,83,65,90,62,84
233049,J. Sancho,21,180,76,England,87,91,4,Manchester United,116500000,150000,224300000,LM,2026.0,2021,England,Right,3,5,High,Medium,81,76,82,91,36,65
201024,K. Koulibaly,30,187,89,Senegal,86,86,0,Napoli,55500000,105000,94400000,CB,2023.0,2014,Not in team,Right,3,2,Medium,High,81,28,51,65,87,85
232363,M. Škriniar,26,188,80,Slovakia,86,88,2,Inter,74000000,150000,131400000,CB,2023.0,2017,Not in team,Right,3,2,Medium,High,80,41,53,68,87,84
201535,R. Varane,28,191,81,France,86,88,2,Manchester United,68500000,180000,131900000,CB,2025.0,2021,France,Right,3,2,Medium,High,82,49,64,63,87,82
198219,L. Insigne,30,163,59,Italy,86,86,0,Napoli,65500000,125000,111400000,LW,2022.0,2010,Italy,Right,4,4,High,Medium,87,78,85,90,36,45
192984,K. Casteels,29,197,86,Belgium,86,87,1,VfL Wolfsburg,52000000,88000,92300000,GK,2024.0,2015,Not in team,Left,2,1,Medium,Medium,85,83,80,87,45,84
189513,Parejo,32,182,74,Spain,86,86,0,Villarreal CF,53500000,64000,112400000,CM,2024.0,2020,Not in team,Right,4,3,Medium,Medium,50,83,90,81,71,69
189511,Sergio Busquets,32,189,76,Spain,86,86,0,FC Barcelona,45000000,200000,92300000,CDM,2023.0,2008,Spain,Right,3,3,Medium,Medium,42,62,79,80,82,75
189509,Thiago,30,174,70,Spain,86,86,0,Liverpool,65000000,180000,120300000,CM,2024.0,2020,Spain,Right,3,5,Medium,Medium,63,72,86,90,70,66
189332,Jordi Alba,32,170,68,Spain,86,86,0,FC Barcelona,47000000,200000,96400000,LB,2024.0,2012,Spain,Left,3,3,High,Medium,86,69,81,83,77,71
178603,M. Hummels,32,191,96,Germany,86,86,0,Borussia Dortmund,44000000,95000,74800000,CB,2023.0,2019,Not in team,Right,3,3,High,High,56,59,77,72,89,77
138956,G. Chiellini,36,187,85,Italy,86,86,0,Juventus,12000000,88000,19800000,SUB,2023.0,2005,Italy,Left,3,2,Medium,High,68,46,60,58,89,85
162835,S. Handanovič,36,193,92,Slovenia,86,86,0,Inter,7500000,78000,12800000,GK,2022.0,2012,Not in team,Right,3,1,Medium,Medium,81,81,65,87,48,92
231866,Rodri,25,191,82,Spain,86,89,3,Manchester City,81000000,175000,155900000,CDM,2024.0,2019,Spain,Right,4,3,Medium,High,61,70,77,77,82,82
226161,Marcos Llorente,26,184,74,Spain,86,89,3,Atlético de Madrid,88000000,95000,187000000,RM,2027.0,2019,Spain,Right,4,3,High,Medium,88,80,81,82,78,82
204485,R. Mahrez,30,179,67,Algeria,86,86,0,Manchester City,65500000,220000,121200000,RW,2023.0,2018,Not in team,Left,4,5,Medium,Medium,81,80,81,90,38,60
208093,Gerard Moreno,29,180,77,Spain,86,86,0,Villarreal CF,68000000,73000,142800000,ST,2027.0,2018,Spain,Left,4,3,High,Medium,79,86,77,84,46,73
208830,J. Vardy,34,179,74,England,86,86,0,Leicester City,33000000,180000,62700000,ST,2023.0,2012,Not in team,Right,4,3,High,Medium,85,84,70,80,52,73
210514,João Cancelo,27,182,74,Portugal,86,87,1,Manchester City,71500000,185000,137600000,LB,2025.0,2019,Portugal,Right,4,4,High,Medium,85,71,83,84,80,72
212218,A. Laporte,27,191,85,Spain,86,89,3,Manchester City,77000000,185000,148200000,CB,2024.0,2018,Spain,Left,3,2,Medium,Medium,63,50,72,68,86,80
213345,K. Coman,25,180,76,France,86,87,1,FC Bayern München,81000000,120000,139700000,SUB,2023.0,2015,France,Right,3,4,Medium,Medium,93,76,79,88,30,60
218667,Bernardo Silva,26,173,64,Portugal,86,86,0,Manchester City,74000000,200000,136900000,SUB,2025.0,2017,Portugal,Left,3,4,High,High,80,76,83,91,54,67
209499,Fabinho,27,188,78,Brazil,86,88,2,Liverpool,73500000,165000,141500000,CDM,2026.0,2018,Not in team,Right,2,3,Medium,High,67,69,78,77,85,83
201942,Roberto Firmino,29,181,76,Brazil,85,85,0,Liverpool,54000000,185000,99900000,CF,2023.0,2015,Not in team,Right,4,5,High,High,77,78,79,89,59,78
194765,A. Griezmann,30,176,73,France,85,85,0,Atlético de Madrid,53000000,220000,0,ST,2022.0,2019,France,Left,3,4,Medium,Medium,80,84,84,87,52,72
183277,E. Hazard,30,175,74,Belgium,85,85,0,Real Madrid CF,52000000,240000,106600000,SUB,2024.0,2019,Belgium,Right,4,4,Medium,Medium,84,80,82,88,35,63
185122,P. Gulácsi,31,191,86,Hungary,85,85,0,RB Leipzig,28500000,87000,48500000,GK,2025.0,2015,Hungary,Right,2,1,Medium,Medium,85,84,76,86,43,82
179813,E. Cavani,34,185,77,Uruguay,85,85,0,Manchester United,26000000,190000,48100000,SUB,2022.0,2020,Not in team,Right,4,3,High,High,66,86,70,75,51,79
177683,Y. Sommer,32,183,79,Switzerland,85,85,0,Borussia Mönchengladbach,26500000,40000,45100000,GK,2023.0,2014,Not in team,Right,4,1,Medium,Medium,79,81,84,86,51,86
168542,David Silva,35,173,67,Spain,85,85,0,Real Sociedad,22000000,44000,46200000,CAM,2022.0,2020,Not in team,Left,2,4,High,Medium,63,74,87,87,52,53
202556,M. Depay,27,176,78,Netherlands,85,86,1,FC Barcelona,63000000,220000,133900000,LW,2023.0,2021,Netherlands,Right,3,5,High,Low,82,83,82,85,30,79
163587,K. Schmeichel,34,189,89,Denmark,85,85,0,Leicester City,9000000,115000,17100000,GK,2023.0,2011,Denmark,Right,3,1,Medium,Medium,84,78,80,90,48,83
143076,A. Gómez,33,167,68,Argentina,85,85,0,Sevilla FC,33500000,51000,70400000,CM,2024.0,2021,Argentina,Right,4,4,High,Medium,87,78,84,87,39,55
186942,I. Gündoğan,30,180,80,Germany,85,85,0,Manchester City,51500000,185000,95300000,CM,2023.0,2016,Germany,Right,4,4,High,Medium,65,80,85,86,73,72
188350,M. Reus,32,180,71,Germany,85,85,0,Borussia Dortmund,43000000,95000,73100000,CAM,2023.0,2012,Not in team,Right,4,4,High,Medium,73,84,84,85,47,63
184344,L. Bonucci,34,190,85,Italy,85,85,0,Juventus,17500000,110000,28900000,CB,2024.0,2018,Italy,Right,4,2,Medium,High,64,58,69,71,86,80
188377,K. Walker,31,183,83,England,85,85,0,Manchester City,39000000,170000,72200000,RB,2024.0,2017,England,Right,2,3,High,High,92,63,76,78,80,82
188567,P. Aubameyang,32,187,80,Gabon,85,85,0,Arsenal,43500000,145000,82700000,ST,2023.0,2018,Not in team,Right,4,4,Medium,Low,89,85,75,79,35,69
193747,Koke,29,176,75,Spain,85,85,0,Atlético de Madrid,52500000,90000,107600000,CM,2024.0,2011,Spain,Right,4,3,Medium,Medium,70,75,85,81,79,80
164240,Thiago Silva,36,183,79,Brazil,85,85,0,Chelsea,9500000,105000,17600000,CB,2022.0,2020,Not in team,Right,3,2,Medium,High,53,54,72,71,86,78
206113,S. Gnabry,25,176,77,Germany,85,86,1,FC Bayern München,64500000,110000,111300000,RM,2023.0,2017,Germany,Right,4,4,High,Medium,83,84,79,86,43,69
198176,S. de Vrij,29,189,78,Netherlands,85,85,0,Inter,45000000,145000,76500000,CB,2023.0,2018,Netherlands,Right,3,2,Medium,High,72,41,64,69,87,79
235243,M. de Ligt,21,189,89,Netherlands,85,90,5,Juventus,75000000,81000,129400000,CB,2024.0,2019,Netherlands,Right,3,2,Medium,High,73,59,60,68,84,87
235212,A. Hakimi,22,181,73,Morocco,85,88,3,Paris Saint-Germain,69500000,100000,133800000,RB,2026.0,2021,Not in team,Right,4,3,High,Medium,95,71,78,84,76,78
231677,M. Rashford,23,186,70,England,85,89,4,Manchester United,77500000,150000,149200000,SUB,2023.0,2014,England,Right,3,5,High,Medium,90,84,79,85,43,77
231478,L. Martínez,23,174,72,Argentina,85,89,4,Inter,78000000,145000,138500000,ST,2023.0,2018,Argentina,Right,4,4,High,Medium,84,81,72,85,48,84
230142,Oyarzabal,24,181,79,Spain,85,89,4,Real Sociedad,77500000,57000,168600000,LW,2024.0,2014,Spain,Left,3,3,High,Medium,82,82,81,84,41,63
226790,W. Ndidi,24,183,74,Nigeria,85,88,3,Leicester City,66500000,120000,131300000,CDM,2024.0,2017,Not in team,Right,4,3,Medium,High,67,62,69,74,87,83
223848,S. Milinković-Savić,26,191,76,Serbia,85,87,2,Lazio,66000000,100000,117200000,CM,2024.0,2015,Not in team,Right,5,4,High,Medium,68,79,80,81,79,86
205498,Jorginho,29,180,68,Italy,85,85,0,Chelsea,52500000,170000,97100000,CM,2023.0,2018,Italy,Right,3,3,Medium,Medium,55,67,86,81,73,73
204963,Carvajal,29,173,73,Spain,85,85,0,Real Madrid CF,47500000,210000,97400000,RB,2025.0,2013,Not in team,Right,3,3,High,Medium,80,54,78,80,81,80
200458,L. Digne,27,178,74,France,84,84,0,Everton,40500000,110000,77000000,LB,2023.0,2018,France,Left,2,3,High,Medium,79,69,80,80,80,76
197445,D. Alaba,29,180,78,Austria,84,84,0,Real Madrid CF,35500000,195000,72800000,LB,2026.0,2021,Austria,Left,4,3,Medium,Medium,77,70,81,80,83,76
198706,Luis Alberto,28,183,74,Spain,84,84,0,Lazio,42500000,95000,72300000,CM,2025.0,2016,Not in team,Right,3,4,Medium,Medium,60,76,86,85,57,59
199434,D. Tadić,32,181,76,Serbia,84,84,0,Ajax,33500000,32000,46900000,LW,2024.0,2018,Not in team,Left,3,4,Medium,Medium,69,81,85,85,43,76
199451,W. Ben Yedder,30,170,68,France,84,84,0,AS Monaco,41500000,88000,78900000,ST,2024.0,2019,Not in team,Right,5,4,High,Low,82,84,77,88,39,70
237692,P. Foden,21,171,69,England,84,92,8,Manchester City,94500000,125000,193700000,SUB,2024.0,2016,England,Left,3,4,High,Medium,84,78,80,87,56,57
200647,J. Iličić,33,190,79,Slovenia,84,84,0,Atalanta,27000000,84000,45900000,SUB,2022.0,2017,Not in team,Left,4,5,Medium,Medium,75,86,84,86,40,67
202811,E. Martínez,28,195,88,Argentina,84,85,1,Aston Villa,33500000,81000,66200000,GK,2024.0,2020,Argentina,Right,4,1,Medium,Medium,85,83,82,85,58,83
192629,Iago Aspas,33,176,67,Spain,84,84,0,RC Celta de Vigo,27000000,46000,56700000,ST,2023.0,2015,Not in team,Left,4,3,High,High,82,85,79,86,35,63
203263,H. Maguire,28,194,100,England,84,86,2,Manchester United,42500000,155000,81800000,CB,2024.0,2019,England,Right,3,2,High,High,50,55,69,70,85,87
193080,De Gea,30,192,76,Spain,84,84,0,Manchester United,28000000,120000,51800000,GK,2023.0,2011,Spain,Right,3,1,Medium,Medium,86,79,76,87,58,79
152729,Piqué,34,194,85,Spain,84,84,0,FC Barcelona,13500000,175000,27700000,CB,2024.0,2008,Not in team,Right,3,2,High,Medium,58,61,71,67,85,78
186345,K. Trippier,30,173,69,England,84,84,0,Atlético de Madrid,36500000,74000,74800000,SUB,2023.0,2019,England,Right,4,3,Medium,Medium,73,63,82,77,80,72
184134,Fernando,33,183,76,Brazil,84,84,0,Sevilla FC,21000000,43000,44100000,CDM,2022.0,2019,Not in team,Right,3,3,Medium,Medium,66,62,75,73,83,82
183711,J. Henderson,31,182,80,England,84,84,0,Liverpool,29500000,140000,54600000,CM,2025.0,2011,England,Right,3,3,High,High,66,74,83,78,78,81
181291,G. Wijnaldum,30,175,74,Netherlands,84,84,0,Paris Saint-Germain,40500000,115000,74900000,SUB,2024.0,2021,Netherlands,Right,4,4,High,High,77,75,80,86,79,79
175943,D. Mertens,34,169,61,Belgium,84,84,0,Napoli,20500000,105000,34900000,RES,2022.0,2013,Belgium,Right,4,4,High,Low,85,82,80,88,34,50
204923,M. Sabitzer,27,178,76,Austria,84,85,1,FC Bayern München,48000000,110000,82800000,SUB,2025.0,2021,Austria,Right,4,3,High,High,78,84,81,80,67,78
146536,Jesús Navas,35,172,60,Spain,84,84,0,Sevilla FC,13000000,30000,27300000,RB,2024.0,2017,Not in team,Right,2,4,High,Medium,87,69,81,84,79,58
41236,Z. Ibrahimović,39,195,95,Sweden,84,84,0,AC Milan,14500000,51000,24700000,SUB,2022.0,2020,Sweden,Right,4,5,Medium,Low,65,87,78,79,34,77
235790,K. Havertz,22,188,82,Germany,84,92,8,Chelsea,94500000,130000,193700000,LW,2025.0,2020,Germany,Left,4,4,Medium,Medium,82,78,79,84,45,66
204639,S. Savić,30,187,80,Montenegro,84,84,0,Atlético de Madrid,34500000,74000,70700000,CB,2024.0,2015,Not in team,Right,3,2,Medium,High,64,35,57,56,87,76
232656,T. Hernández,23,184,81,France,84,90,6,AC Milan,62500000,51000,118800000,LB,2024.0,2019,Not in team,Left,3,3,High,Medium,93,71,76,81,77,82
216393,Y. Tielemans,24,176,72,Belgium,84,87,3,Leicester City,57000000,125000,112600000,CDM,2023.0,2019,Belgium,Right,5,4,Medium,Medium,63,79,86,80,71,72
206517,J. Grealish,25,180,81,England,84,85,1,Manchester City,50500000,180000,97200000,LW,2027.0,2021,England,Right,3,4,High,Medium,80,76,83,88,46,64
216594,N. Fekir,27,173,75,France,84,84,0,Real Betis Balompié,45000000,42000,94500000,CAM,2023.0,2019,Not in team,Left,4,4,High,Medium,83,83,82,87,38,79
222492,L. Sané,25,183,80,Germany,84,87,3,FC Bayern München,56000000,105000,96600000,LM,2025.0,2020,Germany,Left,2,4,Medium,Low,90,81,79,85,38,68
224232,N. Barella,24,172,68,Italy,84,89,5,Inter,63500000,120000,112700000,CM,2024.0,2020,Italy,Right,3,3,High,High,78,71,79,86,75,78
224334,M. Acuña,29,172,69,Argentina,84,84,0,Sevilla FC,37000000,45000,77700000,LB,2024.0,2020,Argentina,Left,3,4,High,High,76,74,82,87,79,82
216352,M. Brozović,28,181,68,Croatia,84,84,0,Inter,37000000,130000,62900000,CDM,2022.0,2016,Not in team,Right,4,3,Medium,Medium,69,74,80,79,79,78
228941,André Silva,25,185,84,Portugal,84,85,1,RB Leipzig,51000000,110000,90500000,ST,2026.0,2021,Portugal,Right,3,4,Medium,Medium,74,84,69,83,45,77
230938,F. Kessié,24,183,88,Côte d'Ivoire,84,86,2,AC Milan,49500000,51000,87900000,CDM,2022.0,2019,Not in team,Right,4,3,High,High,78,74,74,79,82,87
205988,L. Shaw,25,181,75,England,84,86,2,Manchester United,48500000,140000,93400000,LB,2023.0,2014,England,Left,2,3,High,Medium,79,54,79,80,81,80
207862,M. Ginter,27,191,86,Germany,84,85,1,Borussia Mönchengladbach,42500000,45000,75400000,CB,2022.0,2017,Not in team,Right,3,2,Medium,Medium,62,58,72,65,86,79
207863,Felipe,32,190,84,Brazil,84,84,0,Atlético de Madrid,27500000,74000,56400000,SUB,2022.0,2019,Not in team,Right,3,2,Low,High,61,41,58,61,85,84
208418,Y. Carrasco,27,185,73,Belgium,84,84,0,Atlético de Madrid,45000000,81000,92300000,LM,2024.0,2020,Belgium,Right,4,4,High,High,88,81,78,86,45,67
208574,F. Kostić,28,184,82,Serbia,84,84,0,Eintracht Frankfurt,42500000,52000,72300000,LM,2023.0,2019,Not in team,Left,2,3,High,High,88,77,82,83,68,80
208670,H. Ziyech,28,181,65,Morocco,84,84,0,Chelsea,42500000,170000,78600000,SUB,2025.0,2020,Not in team,Left,2,5,High,High,78,76,87,84,50,65
209889,R. Guerreiro,27,170,71,Portugal,84,84,0,Borussia Dortmund,40500000,79000,68900000,LB,2023.0,2016,Portugal,Left,2,4,High,Low,75,77,85,88,76,58
210243,Ricardo Pereira,27,175,70,Portugal,84,84,0,Leicester City,40500000,130000,77000000,RB,2023.0,2018,Not in team,Right,4,3,High,High,83,67,78,82,80,75
212188,T. Werner,25,180,76,Germany,84,87,3,Chelsea,56500000,155000,108800000,SUB,2025.0,2020,Germany,Right,4,3,High,Medium,91,81,70,83,35,70
215698,M. Maignan,25,191,89,France,84,89,5,AC Milan,49500000,45000,87900000,GK,2026.0,2021,France,Right,4,1,Medium,Medium,83,81,85,86,50,84
216460,J. Giménez,26,185,79,Uruguay,84,88,4,Atlético de Madrid,52000000,74000,110500000,CB,2025.0,2013,Not in team,Right,3,2,Medium,High,72,45,57,58,86,80
197655,S. Coates,30,196,92,Uruguay,83,83,0,Sporting CP,30000000,21000,60000000,CB,2023.0,2017,Not in team,Right,3,2,Medium,Medium,68,49,55,63,84,87
203574,J. Stones,27,188,76,England,83,86,3,Manchester City,41000000,140000,78900000,SUB,2026.0,2016,England,Right,4,3,High,Medium,70,51,71,74,84,78
199914,Allan,30,175,74,Brazil,83,83,0,Everton,30500000,100000,58000000,CDM,2023.0,2020,Not in team,Right,3,4,Medium,High,72,71,77,81,80,79
200610,K. Volland,28,179,85,Germany,83,83,0,AS Monaco,37000000,83000,70300000,RF,2024.0,2020,Not in team,Left,4,3,High,High,73,85,79,80,42,86
201153,Morata,28,190,84,Spain,83,83,0,Juventus,37000000,84000,0,ST,2022.0,2020,Spain,Right,4,3,Medium,Medium,82,80,72,81,31,77
201399,M. Icardi,28,181,75,Argentina,83,83,0,Paris Saint-Germain,37000000,120000,68500000,SUB,2024.0,2020,Not in team,Right,4,3,Medium,Medium,69,83,65,77,36,69
202884,L. Spinazzola,28,186,75,Italy,83,83,0,Roma,33000000,72000,56100000,RES,2024.0,2019,Not in team,Right,4,4,High,Medium,92,64,73,81,78,71
203841,N. Pope,29,199,76,England,83,83,0,Burnley,25000000,45000,47500000,GK,2023.0,2016,Not in team,Right,3,1,Medium,Medium,81,83,75,84,48,83
204838,R. Jiménez,30,188,81,Mexico,83,83,0,Wolverhampton Wanderers,35500000,120000,67500000,ST,2024.0,2019,Mexico,Right,4,3,High,High,72,82,76,81,47,82
199845,F. Acerbi,33,192,88,Italy,83,83,0,Lazio,17500000,75000,29800000,CB,2023.0,2018,Italy,Left,3,3,Medium,High,63,50,62,63,86,83
192774,K. Manolas,30,189,83,Greece,83,83,0,Napoli,30000000,80000,51000000,CB,2024.0,2019,Not in team,Right,2,2,Low,Medium,81,25,44,61,85,81
205452,A. Rüdiger,28,190,85,Germany,83,84,1,Chelsea,34500000,130000,66400000,CB,2022.0,2017,Germany,Right,3,2,Medium,High,75,43,68,63,84,84
183907,J. Boateng,32,190,94,Germany,83,83,0,Olympique Lyonnais,23500000,81000,44700000,RES,2023.0,2021,Not in team,Right,4,2,Medium,Medium,72,50,73,66,84,79
135507,Fernandinho,36,179,67,Brazil,83,83,0,Manchester City,7000000,100000,13000000,SUB,2022.0,2013,Not in team,Right,4,3,Medium,High,59,72,75,77,84,75
169416,C. Vela,32,177,77,Mexico,83,83,0,Los Angeles FC,29000000,17000,43500000,RW,2022.0,2018,Not in team,Left,2,4,High,Low,80,82,78,84,31,67
177413,A. Witsel,32,186,81,Belgium,83,83,0,Borussia Dortmund,24000000,72000,40800000,CDM,2022.0,2018,Belgium,Right,4,4,Medium,Medium,61,72,81,78,82,79
178750,Sergio Asenjo,32,189,87,Spain,83,83,0,Villarreal CF,18000000,37000,37800000,SUB,2022.0,2014,Not in team,Right,3,1,Medium,Medium,85,83,78,83,56,81
179645,S. Kjær,32,190,86,Denmark,83,83,0,AC Milan,23500000,54000,40000000,CB,2022.0,2020,Denmark,Right,3,2,Low,High,67,55,64,58,85,78
